Code commune,Libelle de la commune,Population totale,APL aux medecins generalistes,APL aux medecins generalistes de 65 ans et moins,APL aux medecins generalistes de 62 ans et moins,Population standardisee par la consommation de soins par tranche d age
33441,Saint Martin Lacaussade,1158,"4,091","3,567","3,373","1185,901"
33442,Saint Martin de Laye,550,"2,997","2,763","2,018","549,375"
33443,Saint Martin de Lerm,154,"3,584","3,239","2,777","162,568"
33444,Saint Martin de Sescas,576,"5,03","4,473","3,974","580,169"
33445,Saint Martin du Bois,844,"3,159","2,823","2,246","844,807"
33446,Saint Martin du Puy,168,"2,912","2,677","2,338","173,086"
33447,Saint Medard de Guizieres,2391,"3,714","3,568","3,387","2447,502"
33448,Saint Medard d Eyrans,3098,"4,939","4,634","4,411","3012,501"
33449,Saint Medard en Jalles,31808,"3,337","3,161","2,881","31608,721"
33450,Saint Michel de Castelnau,245,"1,392","0,79","0,79","260,251"
33451,Saint Michel de Fronsac,527,"3,875","3,256","2,925","540,824"
33452,Saint Michel de Rieufret,836,"4,109","3,62","3,471","819,617"
33453,Saint Michel de Lapujade,222,"2,342","2,003","1,682","234,654"
33454,Saint Morillon,1724,"2,299","2,105","2,067","1619,249"
33456,Saint Palais,497,"2,663","2,663","2,207","504,926"
33457,Saint Pardon de Conques,600,"4,82","4,402","3,992","586,695"
33458,Saint Paul,977,"4,438","3,799","3,42","1003,273"
33459,Saint Pey d Armens,187,"4,902","4,378","3,856","211,814"
33460,Saint Pey de Castets,609,"4,055","3,78","3,351","636,923"
33461,Saint Philippe d Aiguille,375,"2,533","2,398","2,138","385,435"
33462,Saint Philippe du Seignal,493,"4,182","3,573","3,053","539,772"
33463,Saint Pierre d Aurillac,1311,"4,65","4,198","3,852","1375,017"
33464,Saint Pierre de Bat,289,"3,791","3,565","3,392","297,106"
33465,Saint Pierre de Mons,1227,"4,508","4,091","3,746","1213,596"
33466,Saint Quentin de Baron,2559,"3,825","3,496","3,233","2342,36"
33467,Saint Quentin de Caplong,238,"3,31","2,551","2,43","263,055"
33468,Sainte Radegonde,435,"3,467","2,962","2,728","445,396"
33470,Saint Romain la Virvee,871,"3,261","2,934","2,551","873,456"
33471,Saint Sauveur,1280,"4,148","3,906","3,418","1326,348"
33472,Saint Sauveur de Puynormand,360,"2,871","2,782","2,668","359,896"
33473,Saint Savin,3250,"3,495","2,987","2,766","3218,589"
33474,Saint Selve,3423,"3,869","3,514","3,432","3180,479"
33475,Saint Seurin de Bourg,408,"3,382","2,954","2,675","405,015"
33476,Saint Seurin de Cadourne,704,"1,918","1,583","1,345","728,075"
33477,Saint Seurin de Cursac,763,"4,222","3,641","3,312","794,555"
33478,Saint Seurin sur l Isle,3141,"3,516","3,415","3,301","3427,891"
33479,Saint Seve,251,"3,883","3,369","2,817","247,048"
33480,Saint Sulpice de Faleyrens,1316,"4,607","3,95","3,609","1398,111"
33481,Saint Sulpice de Guilleragues,230,"3,784","3,309","2,99","235,906"
33482,Saint Sulpice de Pommiers,250,"4,313","3,966","3,5","249,493"
33483,Saint Sulpice et Cameyrac,4762,"3,636","3,413","3,085","4847,344"
33484,Saint Symphorien,1831,"3,741","3,741","3,143","1966,354"
33485,Sainte Terre,1910,"3,648","3,332","2,876","1987,809"
33486,Saint Trojan,355,"3,971","3,373","3,06","363,607"
33487,Saint Vincent de Paul,1000,"5,376","5,002","4,387","967,69"
33488,Saint Vincent de Pertignas,357,"4,218","4,037","3,645","377,528"
33489,Saint Vivien de Blaye,354,"4,215","3,604","3,313","352,845"
33490,Saint Vivien de Medoc,1791,"4,222","3,91","3,765","2012,66"
33491,Saint Vivien de Monsegur,383,"3,246","2,878","2,717","410,514"
33492,Saint Yzan de Soudiac,2427,"2,549","2,094","1,924","2293,504"
33493,Saint Yzans de Medoc,348,"2,062","1,766","1,475","379,615"
33494,Salaunes,1171,"2,885","2,823","2,741","1110,692"
33496,Sallebœuf,2630,"4,476","4,251","3,857","2669,527"
33498,Salles,7411,"3,51","3,009","2,194","7229,502"
33499,Les Salles de Castillon,333,"2,409","2,319","2,058","340,825"
33500,Samonac,429,"3,128","2,63","2,381","450,889"
33501,Saucats,3255,"2,461","2,064","2,014","3138,385"
33502,Saugon,485,"5,106","4,498","3,923","464,853"
33503,Saumos,532,"3,52","3,52","3,52","530,548"
33504,Sauternes,814,"4,018","3,532","3,343","797,066"
33505,La Sauve,1546,"4,242","3,929","3,771","1506,309"
33506,Sauveterre de Guyenne,1853,"4,792","4,489","4,151","1990,266"
33507,Sauviac,324,"5,407","4,805","4,178","335,627"
33508,Savignac,626,"4,381","3,88","3,202","625,46"
33509,Savignac de l Isle,501,"4,212","3,684","3,069","517,406"
33510,Semens,218,"3,656","3,509","3,338","208,011"
33511,Sendets,339,"4,119","3,602","3,198","357,001"
33512,Sigalens,362,"3,953","3,609","3,008","378,761"
33513,Sillas,122,"3,845","3,328","2,961","131,326"
33514,Soulac sur Mer,2825,"4,344","4,344","4,344","3362,2"
33515,Soulignac,422,"3,546","3,176","3,143","430,045"
33516,Soussac,199,"3,755","3,29","3,085","194,305"
33517,Soussans,1655,"4,679","4,632","4,295","1612,889"
